Parameter   ,FoldChange ,ViralCycleTime       ,DidNotComplete
K_TMP       ,     0.001 ,19.19095077524523    ,False
K_TMP       ,     0.003 ,12.516737361087463   ,False
K_TMP       ,     0.01  , 9.26527592669321    ,False
K_TMP       ,     0.03  , 7.700127369649827   ,False
K_TMP       ,     0.1   , 6.785066441354149   ,False
K_TMP       ,     0.3   , 6.412904161130463   ,False
K_TMP       ,     1     , 6.2699634665166535  ,False
K_TMP       ,     3     , 6.228099908469328   ,False
K_TMP       ,    10     , 6.213190077540453   ,False
K_TMP       ,    30     , 6.208898306557985   ,False
K_TMP       ,   100     , 6.207392683971524   ,False
K_TMP       ,   300     , 6.20696217039265    ,False
K_TMP       ,  1000     , 6.206811441574953   ,False
k_Rel       ,     0.001 ,17.851381249024925   ,False
k_Rel       ,     0.003 ,11.976377812829947   ,False
k_Rel       ,     0.01  , 9.002295678002353   ,False
k_Rel       ,     0.03  , 7.556679007047142   ,False
k_Rel       ,     0.1   , 6.721442035457835   ,False
k_Rel       ,     0.3   , 6.393455474203871   ,False
k_Rel       ,     1     , 6.269963466516653   ,False
k_Rel       ,     3     , 6.233824187793038   ,False
k_Rel       ,    10     , 6.220978515014003   ,False
k_Rel       ,    30     , 6.217285392475832   ,False
k_Rel       ,   100     , 6.215990303496683   ,False
k_Rel       ,   300     , 6.2156200348502555  ,False
k_Rel       ,  1000     , 6.215489437436163   ,False
k_UC        ,     0.001 ,17.85138124901244    ,False
k_UC        ,     0.003 ,11.97637781283198    ,False
k_UC        ,     0.01  , 9.00229567800078    ,False
k_UC        ,     0.03  , 7.556679007047668   ,False
k_UC        ,     0.1   , 6.721442035457751   ,False
k_UC        ,     0.3   , 6.3934554742038925  ,False
k_UC        ,     1     , 6.2699634665166535  ,False
k_UC        ,     3     , 6.233824187793038   ,False
k_UC        ,    10     , 6.2209785150139325  ,False
k_UC        ,    30     , 6.217285392475867   ,False
k_UC        ,   100     , 6.215990303496673   ,False
k_UC        ,   300     , 6.2156200361465865  ,False
