Parameter   ,FoldChange ,ViralCycleTime      ,DidNotComplete ,Error
k_TMP       ,     0.001 ,19.190950775246463  ,False          ,
k_TMP       ,     0.003 ,12.51673736108743   ,False          ,
k_TMP       ,     0.01  , 9.265275926693208  ,False          ,
k_TMP       ,     0.03  , 7.700127369649813  ,False          ,
k_TMP       ,     0.1   , 6.785066441354125  ,False          ,
k_TMP       ,     0.3   , 6.41290416113049   ,False          ,
k_TMP       ,     1.0   , 6.269963466516641  ,False          ,
k_TMP       ,     3.0   , 6.228099908469328  ,False          ,
k_TMP       ,    10.0   , 6.213190077540366  ,False          ,
k_TMP       ,    30.0   , 6.208898306558014  ,False          ,
k_TMP       ,   100.0   , 6.207392683971545  ,False          ,
k_TMP       ,   300.0   , 6.206962170392614  ,False          ,
k_TMP       ,  1000.0   , 6.206811441574962  ,False          ,

k_Rel       ,     0.001 ,17.786555955002978  ,False          ,
k_Rel       ,     0.003 ,11.911749971995734  ,False          ,
k_Rel       ,     0.01  , 8.93791136391328   ,False          ,
k_Rel       ,     0.03  , 7.492490935409525  ,False          ,
k_Rel       ,     0.1   , 6.657415041884465  ,False          ,
k_Rel       ,     0.3   , 6.393455474203898  ,False          ,
k_Rel       ,     1.0   , 6.269963466516641  ,False          ,
k_Rel       ,     3.0   , 6.23382418779305   ,False          ,
k_Rel       ,    10.0   , 6.220978515013928  ,False          ,
k_Rel       ,    30.0   , 6.217285392475834  ,False          ,
k_Rel       ,   100.0   , 6.215990303496665  ,False          ,
k_Rel       ,   300.0   , 6.215620034850224  ,False          ,
k_Rel       ,  1000.0   , 6.215489437436155  ,False          ,

k_UC        ,     0.001 ,17.79540613267482   ,False          ,
k_UC        ,     0.003 ,11.920760200820828  ,False          ,
k_UC        ,     0.01  , 8.946894114120393  ,False          ,
k_UC        ,     0.03  , 7.501428930688013  ,False          ,
k_UC        ,     0.1   , 6.721442035457736  ,False          ,
k_UC        ,     0.3   , 6.393455474203884  ,False          ,
k_UC        ,     1.0   , 6.269963466516641  ,False          ,
k_UC        ,     3.0   , 6.233824187793019  ,False          ,
k_UC        ,    10.0   , 6.220978515013933  ,False          ,
k_UC        ,    30.0   , 6.217285392475876  ,False          ,
k_UC        ,   100.0   , 6.215990303496737  ,False          ,
k_UC        ,   300.0   , 6.215620036146548  ,False          ,
k_UC        ,  1000.0   , 6.2154904721050235 ,False          ,

k_Rib_on    ,     0.001 ,48.0                ,True           ,
k_Rib_on    ,     0.003 ,48.0                ,True           ,
k_Rib_on    ,     0.01  ,48.0                ,True           ,
k_Rib_on    ,     0.03  ,48.0                ,True           ,
k_Rib_on    ,     0.1   , 9.552577137597414  ,False          ,
k_Rib_on    ,     0.3   , 6.927989799269308  ,False          ,
k_Rib_on    ,     1.0   , 6.269963466516641  ,False          ,
k_Rib_on    ,     3.0   , 6.320775766121497  ,False          ,
k_Rib_on    ,    10.0   , 6.633005978967044  ,False          ,
k_Rib_on    ,    30.0   , 7.420898156142006  ,False          ,
k_Rib_on    ,   100.0   ,10.872956304955306  ,False          ,
k_Rib_on    ,   300.0   ,18.707616426182703  ,False          ,
k_Rib_on    ,  1000.0   ,                    ,               ,

k_Rib_Step  ,     0.01  , 6.269963466516641  ,False          ,
k_Rib_Step  ,     0.03  , 6.269963466516641  ,False          ,
k_Rib_Step  ,     0.01  , 6.269963466516641  ,False          ,
k_Rib_Step  ,     0.03  , 6.269963466516641  ,False          ,
k_Rib_Step  ,     0.1   , 6.269963466516641  ,False          ,
k_Rib_Step  ,     0.3   , 6.269963466516641  ,False          ,
k_Rib_Step  ,     1.0   , 6.269963466516641  ,False          ,
k_Rib_Step  ,     3.0   , 6.269963466516641  ,False          ,
k_Rib_Step  ,    10.0   , 6.269963466516641  ,False          ,
k_Rib_Step  ,    30.0   , 6.269963466516641  ,False          ,
k_Rib_Step  ,   100.0   , 6.269963466516641  ,False          ,
k_Rib_Step  ,   300.0   , 6.269963466516641  ,False          ,
k_Rib_Step  ,  1000.0   , 6.269963466516641  ,False          ,

k_Cleav     ,     0.001 ,48.0                ,True           ,
k_Cleav     ,     0.003 ,11.538335022714698  ,False          ,
k_Cleav     ,     0.01  , 8.264239854516376  ,False          ,
k_Cleav     ,     0.03  , 7.082120122796786  ,False          ,
k_Cleav     ,     0.1   , 6.509461824670423  ,False          ,
k_Cleav     ,     0.3   , 6.299865638080759  ,False          ,
k_Cleav     ,     1.0   , 6.217285392475876  ,False          ,
k_Cleav     ,     3.0   , 6.191258975938479  ,False          ,
k_Cleav     ,    10.0   , 6.182474702479724  ,False          ,
k_Cleav     ,    30.0   , 6.179954831476461  ,False          ,
k_Cleav     ,   100.0   , 6.179072289032468  ,False          ,
k_Cleav     ,   300.0   , 6.1788190181390465 ,False          ,
k_Cleav     ,  1000.0   , 6.178730537880562  ,False          ,

h_pp1       ,     0.001 ,18.001304317761676  ,False          ,
h_pp1       ,     0.003 , 8.985593850746115  ,False          ,
h_pp1       ,     0.01  , 7.088173956619968  ,False          ,
h_pp1       ,     0.03  , 6.510387047485026  ,False          ,
h_pp1       ,     0.1   , 6.2936492992346835 ,False          ,
h_pp1       ,     0.3   , 6.229627165375018  ,False          ,
h_pp1       ,     1.0   , 6.657415041884465  ,False          ,
h_pp1       ,     3.0   , 6.650566135440806  ,False          ,
h_pp1       ,    10.0   , 6.648165731331983  ,False          ,
h_pp1       ,    30.0   , 6.647479586660952  ,False          ,
h_pp1       ,   100.0   , 6.64723940303943   ,False          ,
h_pp1       ,   300.0   , 6.647170775959517  ,False          ,
h_pp1       ,  1000.0   , 7.4887095406818185 ,False          ,

k_RdRp_on   ,     0.001 ,48.0                ,True           ,
k_RdRp_on   ,     0.003 ,48.0                ,True           ,
k_RdRp_on   ,     0.01  ,48.0                ,True           ,
k_RdRp_on   ,     0.03  ,48.0                ,True           ,
k_RdRp_on   ,     0.1   ,21.852724004119782  ,False          ,
k_RdRp_on   ,     0.3   , 8.636111398088579  ,False          ,
k_RdRp_on   ,     1.0   , 6.41290416113049   ,False          ,
k_RdRp_on   ,     3.0   , 5.513443039832052  ,False          ,
k_RdRp_on   ,    10.0   , 4.973050806948225  ,False          ,
k_RdRp_on   ,    30.0   , 4.672935840810173  ,False          ,
k_RdRp_on   ,   100.0   , 4.458839936173796  ,False          ,
k_RdRp_on   ,   300.0   , 5.01698744832075   ,False          ,

h_RdRp      ,     0.1   ,11.54539043928021   ,False          ,
h_RdRp      ,     0.3   , 7.584051806745759  ,False          ,
h_RdRp      ,     1.0   , 6.633005978967044  ,False          ,
h_RdRp      ,     3.0   , 6.410539948455067  ,False          ,
h_RdRp      ,    10.0   , 6.338001401252225  ,False          ,
h_RdRp      ,    30.0   , 6.317782679317898  ,False          ,
h_RdRp      ,   100.0   , 6.069292990895585  ,False          ,
h_RdRp      ,   300.0   , 6.068346010696579  ,False          ,
h_RdRp      ,  1000.0   , 6.068014720192797  ,False          ,

k_RdRp_Step ,     0.001 , 6.068014720192797  ,False          ,
k_RdRp_Step ,     0.003 , 6.068014720192797  ,False          ,
k_RdRp_Step ,     0.01  , 6.068014720192797  ,False          ,
k_RdRp_Step ,     0.03  , 6.229627165375018  ,False          ,
k_RdRp_Step ,     0.1   , 6.229627165375018  ,False          ,
k_RdRp_Step ,     0.3   , 6.229627165375018  ,False          ,
k_RdRp_Step ,     1.0   , 6.229627165375018  ,False          ,
k_RdRp_Step ,     3.0   , 6.229627165375018  ,False          ,
k_RdRp_Step ,    10.0   , 6.229627165375018  ,False          ,
k_RdRp_Step ,    30.0   ,48.0                ,True           ,
k_RdRp_Step ,   100.0   ,48.0                ,True           ,
k_RdRp_Step ,   300.0   ,48.0                ,True           ,
k_RdRp_Step ,  1000.0   ,48.0                ,True           ,

k_NCap      ,     0.001 ,48.0                ,True           ,
k_NCap      ,     0.003 ,48.0                ,True           ,
k_NCap      ,     0.01  , 6.462249200323431  ,False          ,
k_NCap      ,     0.1   , 6.193909022382519  ,False          ,
k_NCap      ,     0.3   , 6.182771894847768  ,False          ,
k_NCap      ,     1.0   , 6.178730537880562  ,False          ,
k_NCap      ,     3.0   , 6.17736033375191   ,False          ,
k_NCap      ,    10.0   , 6.644938938127386  ,False          ,
k_NCap      ,    30.0   , 6.644570107979849  ,False          ,
k_NCap      ,     0.03  , 6.2450737436465085 ,False          ,
k_NCap      ,   100.0   , 6.6442341007534145 ,False          ,
k_NCap      ,   300.0   , 6.6439766465328916 ,False          ,
k_NCap      ,  1000.0   , 6.644120053080772  ,False          ,

k_Bud       ,     0.001 , 9.782464861118457  ,False          ,
k_Bud       ,     0.003 ,23.70460019510864   ,False          ,
k_Bud       ,     0.01  ,22.831816659364897  ,False          ,
k_Bud       ,     0.03  ,22.369342683896374  ,False          ,
k_Bud       ,     0.1   ,22.082081541137715  ,False          ,
k_Bud       ,     0.3   ,21.93730748723304   ,False          ,
k_Bud       ,     1.0   ,21.852724004119782  ,False          ,
k_Bud       ,     3.0   , 6.038744407969018  ,False          ,
k_Bud       ,    10.0   , 6.026718412461586  ,False          ,
k_Bud       ,    30.0   , 6.0230255859513155 ,False          ,
k_Bud       ,   100.0   , 6.021694805732756  ,False          ,
k_Bud       ,   300.0   , 6.021308145091332  ,False          ,
k_Bud       ,  1000.0   , 6.021171136903751  ,False          ,


h_SP        ,     1.0   ,48.0                ,True           ,
h_SP        ,     3.0   ,48.0                ,True           ,
h_SP        ,    10.0   ,48.0                ,True           ,
h_SP        ,    30.0   ,48.0                ,True           ,
h_SP        ,   100.0   ,48.0                ,True           ,
h_SP        ,   300.0   ,48.0                ,True           ,
h_SP        ,  1000.0   , 5.966512881797313  ,False          ,

k_Cyto_ER   ,     0.001 ,29.264659229435406  ,False          ,
k_Cyto_ER   ,     0.003 ,18.311439738862365  ,False          ,
k_Cyto_ER   ,     0.01  ,11.823399354178235  ,False          ,
k_Cyto_ER   ,     0.03  , 8.676400502034141  ,False          ,
k_Cyto_ER   ,     0.1   , 6.87638327548999   ,False          ,
k_Cyto_ER   ,     0.3   , 7.049945960597606  ,False          ,
k_Cyto_ER   ,     1.0   , 6.021171136903751  ,False          ,
k_Cyto_ER   ,     3.0   , 5.80890408513458   ,False          ,
k_Cyto_ER   ,    10.0   , 5.800345493565791  ,False          ,
k_Cyto_ER   ,    30.0   , 5.799149839657677  ,False          ,
k_Cyto_ER   ,   100.0   , 5.7988313008488745 ,False          ,
k_Cyto_ER   ,   300.0   ,21.689302731409022  ,False          ,
k_Cyto_ER   ,  1000.0   ,21.689201922579418  ,False          ,

k_ER_ERGIC  ,     0.001 ,44.56249979592816   ,False          ,
k_ER_ERGIC  ,     0.003 ,33.731091729424904  ,False          ,
k_ER_ERGIC  ,     0.01  ,27.294689102192734  ,False          ,
